CFACTOR	P	t	THETA	t/3600	PBLH	TEMP	O1D	OH	HO2	O3	NO	NO2	eNOx	TUV_J(6,THETA)	emis_NO	emis_NO*molps_to_molpcm2ps/PBLH/100/CFACTOR*3600
2.41958786e+10	9.96000000e+04	5.10751141e+03	1.15182194e+02	1.41875317e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.26037556e-06	1.91426613e-03	2.72839758e+01	2.44141535e-03	1.15340587e+00	2.49297485e-01	0.00000000e+00	6.21281364e-02	1.54631454e-01
2.41958786e+10	9.96000000e+04	5.41083246e+03	1.14811802e+02	1.50300902e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.30100875e-06	1.92938850e-03	2.71368980e+01	2.43098779e-03	1.16147579e+00	2.63326023e-01	0.00000000e+00	6.19206713e-02	1.54115092e-01
2.41958786e+10	9.96000000e+04	5.70618523e+03	1.14432857e+02	1.58505145e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.33611085e-06	1.94458385e-03	2.69905197e+01	2.42150708e-03	1.16943335e+00	2.77307536e-01	0.00000000e+00	6.17186564e-02	1.53612294e-01
2.41958786e+10	9.96000000e+04	6.01904026e+03	1.14012142e+02	1.67195563e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.36600471e-06	1.95963011e-03	2.68448376e+01	2.41320102e-03	1.17728448e+00	2.91243260e-01	0.00000000e+00	6.15046702e-02	1.53079702e-01
2.41958786e+10	9.96000000e+04	6.30264954e+03	1.13613903e+02	1.75073598e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.39072138e-06	1.97434299e-03	2.66998505e+01	2.40523522e-03	1.18503164e+00	3.05130482e-01	0.00000000e+00	6.13106875e-02	1.52596896e-01
2.41958786e+10	9.96000000e+04	6.62573647e+03	1.13141095e+02	1.84048235e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.41089058e-06	1.98860875e-03	2.65555545e+01	2.39875212e-03	1.19268204e+00	3.18973736e-01	0.00000000e+00	6.10897030e-02	1.52046885e-01
2.41958786e+10	9.96000000e+04	6.92379308e+03	1.12687210e+02	1.92327585e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.42626047e-06	2.00231838e-03	2.64119503e+01	2.39180259e-03	1.20023499e+00	3.32766901e-01	0.00000000e+00	6.08858386e-02	1.51539484e-01
2.41958786e+10	9.96000000e+04	7.20749215e+03	1.12239737e+02	2.00208115e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.43755390e-06	2.01540285e-03	2.62690351e+01	2.38602262e-03	1.20769586e+00	3.46513859e-01	0.00000000e+00	6.06968406e-02	1.51069085e-01
2.41958786e+10	9.96000000e+04	7.50075405e+03	1.11761671e+02	2.08354279e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.44509003e-06	2.02785422e-03	2.61268057e+01	2.38129093e-03	1.21507081e+00	3.60217973e-01	0.00000000e+00	6.06937731e-02	1.51061450e-01
2.41958786e+10	9.96000000e+04	7.83766532e+03	1.11193427e+02	2.17712926e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.45096335e-06	2.03986239e-03	2.59852414e+01	2.38448630e-03	1.22239609e+00	3.73921210e-01	0.00000000e+00	6.06902490e-02	1.51052679e-01
2.41958786e+10	9.96000000e+04	8.12207597e+03	1.10698266e+02	2.25613221e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.45388718e-06	2.05162921e-03	2.58443354e+01	2.38841364e-03	1.22967975e+00	3.87623439e-01	0.00000000e+00	6.06872741e-02	1.51045275e-01
2.41958786e+10	9.96000000e+04	8.43657218e+03	1.10134641e+02	2.34349227e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.45422380e-06	2.06323706e-03	2.57040851e+01	2.39296990e-03	1.23692364e+00	4.01324816e-01	0.00000000e+00	6.06839845e-02	1.51037087e-01
2.41958786e+10	9.96000000e+04	8.72271690e+03	1.09607495e+02	2.42297692e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.45210874e-06	2.07468330e-03	2.55644883e+01	2.39803961e-03	1.24412950e+00	4.15025252e-01	0.00000000e+00	6.06809914e-02	1.51029638e-01
2.41958786e+10	9.96000000e+04	9.00701320e+03	1.09070555e+02	2.50194811e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.44774597e-06	2.08594181e-03	2.54255430e+01	2.40358230e-03	1.25129914e+00	4.28724832e-01	0.00000000e+00	6.06780176e-02	1.51022236e-01
2.41958786e+10	9.96000000e+04	9.31083058e+03	1.08482557e+02	2.58634183e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.44127443e-06	2.09698079e-03	2.52872471e+01	2.40953411e-03	1.25843422e+00	4.42423561e-01	0.00000000e+00	6.06748397e-02	1.51014327e-01
2.41958786e+10	9.96000000e+04	9.60418732e+03	1.07901236e+02	2.66782981e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.43278881e-06	2.10776177e-03	2.51495988e+01	2.41584254e-03	1.26553620e+00	4.56121381e-01	0.00000000e+00	6.06717712e-02	1.51006689e-01
2.41958786e+10	9.96000000e+04	9.91061356e+03	1.07280153e+02	2.75294821e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.42243181e-06	2.11825756e-03	2.50125961e+01	2.42248420e-03	1.27260653e+00	4.69818323e-01	0.00000000e+00	6.06685660e-02	1.50998712e-01
2.41958786e+10	9.96000000e+04	1.02077659e+04	1.06664690e+02	2.83549053e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.41030354e-06	2.12844595e-03	2.48762373e+01	2.42941899e-03	1.27964649e+00	4.83514347e-01	0.00000000e+00	6.06654578e-02	1.50990976e-01
